iter	Logloss
0	0.6690299085
1	0.6339832943
2	0.6146006755
3	0.5975175169
4	0.5732051208
5	0.5536549193
6	0.540696301
7	0.5301359173
8	0.5190925503
9	0.5096671061
10	0.5013255351
11	0.4938571008
12	0.4861140676
13	0.4784983877
14	0.4679138381
15	0.4574322683
16	0.4514327944
17	0.4469568693
18	0.44189063
19	0.4351034314
20	0.4304748304
21	0.4244284555
22	0.4209715702
23	0.4118934607
24	0.408278771
25	0.4026806368
26	0.4002438325
27	0.3961854878
28	0.3930596374
29	0.3871319411
30	0.3836753802
31	0.3783065798
32	0.3759654741
33	0.3702896336
34	0.3683623001
35	0.3662718318
36	0.3644701089
37	0.358828776
38	0.3537587722
39	0.3504693663
40	0.3444633505
41	0.3429082833
42	0.3397794797
43	0.3383924209
44	0.3349276583
45	0.3336430401
46	0.3317507795
47	0.3298558381
48	0.3285672222
49	0.3273008584
50	0.3259096497
51	0.3244277804
52	0.3233022765
53	0.3221429718
54	0.3204940705
55	0.3192780754
56	0.3186696194
57	0.3152394393
58	0.3145985507
59	0.3134912011
60	0.3123375263
61	0.3108883003
62	0.3092072216
63	0.3084063661
64	0.3064822488
65	0.3060335994
66	0.3045207709
67	0.3037419935
68	0.3028466907
69	0.3011694471
70	0.2997309383
71	0.2992833896
72	0.2974315467
73	0.2961895916
74	0.2956313417
75	0.2945975746
76	0.2937770083
77	0.2926053082
78	0.2911741059
79	0.2896988831
80	0.2890750819
81	0.2882728186
82	0.2873478974
83	0.2869914337
84	0.2864661875
85	0.2861483088
86	0.2854672724
87	0.2848478202
88	0.2840814716
89	0.2831859092
90	0.2826396896
91	0.282319302
92	0.2820089807
93	0.2813420054
94	0.2809915524
95	0.2807957259
96	0.2805942427
97	0.2800999515
98	0.2796720774
99	0.2788937918
100	0.2785952049
101	0.2780840141
102	0.2778795898
103	0.277119156
104	0.276533764
105	0.276274045
106	0.2756074055
107	0.2746209045
108	0.2737869648
109	0.2736052777
110	0.2734010112
111	0.2732626422
112	0.2728820462
113	0.2724543798
114	0.2721286856
115	0.2716067698
116	0.2710484476
117	0.2708807765
118	0.2706981729
119	0.2698619101
120	0.2695316126
121	0.2691543647
122	0.2689680126
123	0.2683623909
124	0.2681071716
125	0.2676378378
126	0.267275637
127	0.2671185547
128	0.2669971478
129	0.2663582061
130	0.265917732
131	0.2655830266
132	0.2653797221
133	0.2649198441
134	0.2646602824
135	0.2643228331
136	0.264208475
137	0.264065222
138	0.2639200438
139	0.2637247371
140	0.2635582969
141	0.2633470401
142	0.2628168542
143	0.2625494554
144	0.2621381612
145	0.2615192401
146	0.2614174836
147	0.2606550245
148	0.2605120928
149	0.2603615384
150	0.2600052841
151	0.2597922609
152	0.2596232205
153	0.259305002
154	0.2591609786
155	0.2588943424
156	0.2584353727
157	0.2582881323
158	0.2577076771
159	0.2576139747
160	0.2573954729
161	0.2573078693
162	0.2558806216
163	0.255658144
164	0.2555387795
165	0.2552452421
166	0.2547552297
167	0.2546162826
168	0.2539456859
169	0.2537318113
170	0.2535405268
171	0.2534186733
172	0.2532709038
173	0.2528447483
174	0.2526459725
175	0.2525446146
176	0.2524016769
177	0.2522567063
178	0.252203324
179	0.2521150133
180	0.2519569154
181	0.2518553488
182	0.2517699935
183	0.2516776895
184	0.251592335
185	0.2510751232
186	0.2509432325
187	0.2507262831
188	0.2503376835
189	0.2502436563
190	0.2501186026
191	0.2500302441
192	0.2499155172
193	0.2498191272
194	0.2495884025
195	0.2494540007
196	0.2493661736
197	0.249214597
198	0.2491223471
199	0.2490346743
200	0.2489207067
201	0.2486628347
202	0.2483802401
203	0.2479561004
204	0.2477059018
205	0.2474521647
206	0.2464683361
207	0.2463996016
208	0.24633217
209	0.2462593819
210	0.2461659474
211	0.2454092869
212	0.2453152253
213	0.2451755054
214	0.2448515636
215	0.2443440394
216	0.2442551609
217	0.2441618043
218	0.2435274391
219	0.2433794086
220	0.2432757477
221	0.2430576454
222	0.2429712344
223	0.2426441623
224	0.2423881846
225	0.2423166189
226	0.2422400946
227	0.2419424504
228	0.2418494217
229	0.2416123295
230	0.2415506261
231	0.2413037337
232	0.2410817818
233	0.2409884261
234	0.2408663568
235	0.2407576887
236	0.2406618466
237	0.2405825099
238	0.2404042606
239	0.2402812938
240	0.2402079432
241	0.2401028907
242	0.2398232618
243	0.2397643807
244	0.2396727236
245	0.2396074763
246	0.2395226866
247	0.2392746245
248	0.2391839197
249	0.2389329108
250	0.2388271147
251	0.2387323172
252	0.2386555406
253	0.2384854171
254	0.2384245386
255	0.2383127147
256	0.2382001085
257	0.2381228849
258	0.2379703455
259	0.237888847
260	0.2377012114
261	0.2375956305
262	0.2375226984
263	0.2372677201
264	0.2370663585
265	0.23697844
266	0.2367961421
267	0.2366732289
268	0.2364963911
269	0.2364081717
270	0.2361951494
271	0.2359455791
272	0.2358632333
273	0.2357883249
274	0.2356829309
275	0.235616788
276	0.235512409
277	0.2354408179
278	0.2353674762
279	0.2350645503
280	0.2350035647
281	0.2346950384
282	0.2346327698
283	0.2345358706
284	0.2341809495
285	0.2341329009
286	0.2340746215
287	0.2338782755
288	0.2337985816
289	0.2337246427
290	0.2335684973
291	0.2334780153
292	0.2333962053
293	0.2332992022
294	0.2331166495
295	0.2330615358
296	0.2329952609
297	0.2329314622
298	0.2328365404
299	0.2327879964
300	0.2327076928
301	0.2326106492
302	0.2325605967
303	0.2323793861
304	0.2323190427
305	0.2322369737
306	0.2321751703
307	0.2320932497
308	0.2319940063
309	0.231940287
310	0.2318733669
311	0.2317770034
312	0.2315954293
313	0.231467523
314	0.2313934
315	0.2313240522
316	0.2312689388
317	0.2311964383
318	0.2311273897
319	0.231061971
320	0.2309758512
321	0.2309045895
322	0.2308364301
323	0.2307710096
324	0.2307116538
325	0.23063851
326	0.2305926862
327	0.2305127931
328	0.2303889658
329	0.2302828422
330	0.2302241256
331	0.2301761221
332	0.230082723
333	0.230026941
334	0.2299625486
335	0.2298195627
336	0.2297348423
337	0.2296605175
338	0.2295978577
339	0.2295394356
340	0.2294984422
341	0.2294445867
342	0.2292533037
343	0.2291921951
344	0.2291310917
345	0.2290760851
346	0.2290146199
347	0.2289328456
348	0.228884696
349	0.2288366946
350	0.2287816549
351	0.2286853342
352	0.2286145773
353	0.2285380224
354	0.2284778588
355	0.2284086297
356	0.228346396
357	0.2282829284
358	0.2282352601
359	0.2281692784
360	0.2281013404
361	0.2280559773
362	0.2279937314
363	0.2279431164
364	0.227895011
365	0.2277882948
366	0.2277349543
367	0.2276956049
368	0.2275888862
369	0.2275297044
370	0.2274843024
371	0.227443374
372	0.2274024549
373	0.2273506442
374	0.2273009845
375	0.2272502531
376	0.2271845516
377	0.2271372184
378	0.2270683901
379	0.2270106444
380	0.2269567672
381	0.2268089898
382	0.2267534635
383	0.2266780052
384	0.2266216359
385	0.2265793176
386	0.2265157937
387	0.2264639428
388	0.2264057901
389	0.2261641811
390	0.2261148941
391	0.2260606529
392	0.2260189915
393	0.2259654216
394	0.2258874892
395	0.225775941
396	0.2256719287
397	0.2256305394
398	0.2255619316
399	0.2254977589
400	0.2254463961
401	0.2253906329
402	0.2252338694
403	0.2251217156
404	0.2249686876
405	0.2249211182
406	0.2248511881
407	0.2247839345
408	0.2247474363
409	0.2246971061
410	0.224651063
411	0.2245968841
412	0.2244610968
413	0.2244100633
414	0.2243799104
415	0.2243242864
416	0.2242605295
417	0.2242245093
418	0.2241882661
419	0.2241124823
420	0.2240604805
421	0.2239552593
422	0.2239203801
423	0.2238807515
424	0.2238311312
425	0.2237064004
426	0.22366273
427	0.2235939011
428	0.2235267098
429	0.2234776459
430	0.2234440431
431	0.2233905118
432	0.2233409374
