iter	Passed	Remaining
0	168	337309
1	193	193522
2	222	147935
3	248	124166
4	272	108675
5	295	98208
6	319	90966
7	343	85487
8	366	81138
9	393	78356
10	418	75707
11	447	74137
12	473	72397
13	501	71209
14	528	69929
15	557	69120
16	584	68191
17	609	67164
18	637	66515
19	665	65898
20	694	65482
21	723	65019
22	750	64479
23	778	64127
24	808	63870
25	838	63625
26	864	63181
27	893	62915
28	921	62659
29	951	62491
30	980	62305
31	1007	61975
32	1037	61851
33	1068	61790
34	1094	61447
35	1123	61280
36	1151	61110
37	1181	61010
38	1209	60798
39	1235	60558
40	1263	60360
41	1290	60173
42	1316	59927
43	1343	59734
44	1374	59693
45	1400	59497
46	1427	59317
47	1453	59116
48	1479	58909
49	1505	58716
50	1529	58468
51	1555	58286
52	1583	58180
53	1611	58059
54	1637	57896
55	1663	57738
56	1689	57593
57	1716	57480
58	1743	57343
59	1768	57195
60	1795	57069
61	1822	56977
62	1847	56798
63	1871	56599
64	1894	56411
65	1920	56274
66	1946	56156
67	1971	56016
68	2002	56044
69	2032	56031
70	2062	56028
71	2089	55950
72	2115	55837
73	2142	55753
74	2166	55601
75	2190	55447
76	2215	55326
77	2243	55276
78	2272	55265
79	2298	55171
80	2324	55076
81	2349	54943
82	2373	54822
83	2399	54724
84	2425	54640
85	2452	54577
86	2478	54493
87	2505	54429
88	2530	54340
89	2555	54229
90	2579	54123
91	2604	54019
92	2630	53944
93	2655	53847
94	2679	53740
95	2704	53643
96	2728	53526
97	2755	53473
98	2781	53405
99	2807	53338
100	2831	53232
101	2856	53153
102	2882	53080
103	2909	53050
104	2937	53023
105	2965	52983
106	2991	52925
107	3018	52873
108	3042	52782
109	3066	52690
110	3091	52618
111	3117	52549
112	3142	52475
113	3167	52403
114	3192	52335
115	3218	52278
116	3244	52211
117	3270	52160
118	3295	52094
119	3320	52028
120	3346	51961
121	3370	51887
122	3395	51817
123	3420	51752
124	3445	51675
125	3469	51606
126	3493	51515
127	3517	51439
128	3543	51387
129	3570	51364
130	3597	51321
131	3622	51268
132	3648	51210
133	3673	51161
134	3697	51083
135	3721	51001
136	3744	50922
137	3770	50875
138	3795	50816
139	3822	50778
140	3847	50724
141	3871	50661
142	3897	50614
143	3923	50572
144	3949	50531
145	3974	50474
146	4001	50437
147	4026	50380
148	4051	50332
149	4077	50285
150	4101	50224
151	4126	50172
152	4151	50111
153	4176	50065
154	4204	50045
155	4230	50010
156	4255	49956
157	4281	49920
158	4308	49883
159	4333	49830
160	4359	49793
161	4383	49730
162	4409	49699
163	4434	49642
164	4459	49598
165	4485	49553
166	4510	49510
167	4533	49440
168	4558	49390
169	4583	49337
170	4608	49295
171	4633	49249
172	4659	49208
173	4683	49150
174	4707	49092
175	4732	49042
176	4757	48999
177	4782	48956
178	4805	48890
179	4828	48826
180	4853	48780
181	4877	48724
182	4903	48688
183	4927	48630
184	4951	48581
185	4976	48533
186	5000	48484
187	5024	48428
188	5048	48376
189	5073	48329
190	5099	48294
191	5122	48239
192	5147	48193
193	5171	48142
194	5194	48086
195	5219	48037
196	5244	47996
197	5266	47931
198	5292	47895
199	5316	47850
200	5341	47805
201	5366	47762
202	5391	47725
203	5414	47668
204	5438	47619
205	5463	47579
206	5488	47537
207	5511	47480
208	5536	47440
209	5560	47393
210	5585	47354
211	5612	47333
212	5637	47299
213	5660	47245
214	5686	47208
215	5711	47174
216	5741	47175
217	5768	47152
218	5795	47132
219	5818	47080
220	5842	47026
221	5869	47006
222	5893	46963
223	5918	46927
224	5942	46883
225	5969	46859
226	5994	46817
227	6019	46782
228	6044	46743
229	6069	46707
230	6092	46653
231	6115	46601
232	6138	46554
233	6162	46511
234	6189	46487
235	6216	46463
236	6241	46427
237	6265	46383
238	6289	46344
